x0000,y0000
0.9803921569,0.
2.9411764706,62.
4.9019607843,146.
6.8627450980,218.
8.8235294118,179.
10.7843137255,175.
12.7450980392,129.
14.7058823529,101.
16.6666666667,83.
18.6274509804,74.
20.5882352941,57.
22.5490196078,50.
24.5098039216,48.
26.4705882353,49.
28.4313725490,69.
30.3921568627,74.
32.3529411765,84.
34.3137254902,87.
36.2745098039,99.
38.2352941176,116.
40.1960784314,128.
42.1568627451,129.
44.1176470588,123.
46.0784313725,155.
48.0392156863,174.
50.,185.
51.9607843137,170.
53.9215686275,168.
55.8823529412,160.
57.8431372549,163.
59.8039215686,182.
61.7647058824,167.
63.7254901961,174.
65.6862745098,159.
67.6470588235,177.
69.6078431373,163.
71.568627451,175.
73.5294117647,168.
75.4901960784,159.
77.4509803922,162.
79.4117647059,163.
81.3725490196,154.
83.3333333333,164.
85.2941176471,139.
87.2549019608,169.
89.2156862745,154.
91.1764705882,154.
93.137254902,162.
95.0980392157,145.
97.0588235294,168.
99.0196078431,156.
100.9803921569,173.
102.9411764706,162.
104.9019607843,161.
106.8627450980,168.
108.8235294118,182.
110.7843137255,212.
112.7450980392,191.
114.7058823529,212.
116.6666666667,275.
118.6274509804,279.
120.5882352941,295.
122.5490196078,381.
124.5098039216,453.
126.4705882353,523.
128.4313725490,679.
130.3921568627,930.
132.3529411765,1226.
134.3137254902,1447.
136.2745098039,1706.
138.2352941176,1552.
140.1960784314,1242.
142.1568627451,734.
144.1176470588,377.
146.0784313725,218.
148.0392156863,118.
150.,95.
151.9607843137,71.
153.9215686275,55.
155.8823529412,80.
157.8431372549,64.
159.8039215686,48.
161.7647058824,69.
163.7254901961,69.
165.6862745098,76.
167.6470588235,63.
169.6078431373,45.
171.568627451,73.
173.5294117647,53.
175.4901960784,62.
177.4509803922,64.
179.4117647059,61.
181.3725490196,58.
183.3333333333,59.
185.2941176471,55.
187.2549019608,53.
189.2156862745,53.
191.1764705882,53.
193.137254902,56.
195.0980392157,45.
197.0588235294,52.
199.0196078431,47.
200.9803921569,58.
202.9411764706,54.
204.9019607843,43.
206.8627450980,44.
208.8235294118,49.
210.7843137255,57.
212.7450980392,49.
214.7058823529,46.
216.6666666667,46.
218.6274509804,40.
220.5882352941,51.
222.5490196078,44.
224.5098039216,37.
226.4705882353,40.
228.4313725490,42.
230.3921568627,44.
232.3529411765,41.
234.3137254902,30.
236.2745098039,41.
238.2352941176,32.
240.1960784314,31.
242.1568627451,31.
244.1176470588,38.
246.0784313725,41.
248.0392156863,33.
250.,35.
251.9607843137,30.
253.9215686275,23.
255.8823529412,32.
257.8431372549,27.
259.8039215686,32.
261.7647058824,26.
263.7254901961,23.
265.6862745098,25.
267.6470588235,41.
269.6078431373,28.
271.568627451,26.
273.5294117647,19.
275.4901960784,14.
277.4509803922,12.
279.4117647059,19.
281.3725490196,14.
283.3333333333,16.
285.2941176471,15.
287.2549019608,19.
289.2156862745,15.
291.1764705882,17.
293.137254902,12.
295.0980392157,18.
297.0588235294,19.
299.0196078431,19.
300.9803921569,9.
302.9411764706,16.
304.9019607843,13.
306.8627450980,11.
308.8235294118,12.
310.7843137255,14.
312.7450980392,8.
314.7058823529,11.
316.6666666667,12.
318.6274509804,12.
320.5882352941,13.
322.5490196078,13.
324.5098039216,9.
326.4705882353,15.
328.4313725490,12.
330.3921568627,8.
332.3529411765,5.
334.3137254902,12.
336.2745098039,17.
338.2352941176,6.
340.1960784314,7.
342.1568627451,7.
344.1176470588,6.
346.0784313725,7.
348.0392156863,8.
350.,6.
351.9607843137,13.
353.9215686275,6.
355.8823529412,6.
357.8431372549,15.
359.8039215686,3.
361.7647058824,6.
363.7254901961,6.
365.6862745098,7.
367.6470588235,7.
369.6078431373,3.
371.568627451,3.
373.5294117647,5.
375.4901960784,4.
377.4509803922,9.
379.4117647059,6.
381.3725490196,2.
383.3333333333,5.
385.2941176471,9.
387.2549019608,1.
389.2156862745,5.
391.1764705882,4.
393.137254902,8.
395.0980392157,3.
397.0588235294,0.
399.0196078431,1.
400.9803921569,3.
402.9411764706,4.
404.9019607843,2.
406.8627450980,6.
408.8235294118,0.
410.7843137255,3.
412.7450980392,5.
414.7058823529,3.
416.6666666667,4.
418.6274509804,3.
420.5882352941,3.
422.5490196078,4.
424.5098039216,1.
426.4705882353,2.
428.4313725490,1.
430.3921568627,3.
432.3529411765,2.
434.3137254902,6.
436.2745098039,2.
438.2352941176,3.
440.1960784314,3.
442.1568627451,1.
444.1176470588,0.
446.0784313725,1.
448.0392156863,3.
450.,2.
451.9607843137,3.
453.9215686275,1.
455.8823529412,3.
457.8431372549,1.
459.8039215686,4.
461.7647058824,1.
463.7254901961,2.
465.6862745098,5.
467.6470588235,2.
469.6078431373,4.
471.568627451,3.
473.5294117647,1.
475.4901960784,0.
477.4509803922,2.
479.4117647059,1.
481.3725490196,0.
483.3333333333,1.
485.2941176471,0.
487.2549019608,3.
489.2156862745,5.
491.1764705882,5.
493.137254902,0.
495.0980392157,3.
497.0588235294,1.
499.0196078431,3.
