x0000,y0000
0.9803921569,0.
2.9411764706,22.
4.9019607843,89.
6.8627450980,139.
8.8235294118,189.
10.7843137255,190.
12.7450980392,184.
14.7058823529,144.
16.6666666667,169.
18.6274509804,111.
20.5882352941,105.
22.5490196078,102.
24.5098039216,84.
26.4705882353,77.
28.4313725490,81.
30.3921568627,80.
32.3529411765,81.
34.3137254902,112.
36.2745098039,124.
38.2352941176,124.
40.1960784314,145.
42.1568627451,178.
44.1176470588,204.
46.0784313725,212.
48.0392156863,220.
50.,207.
51.9607843137,214.
53.9215686275,235.
55.8823529412,248.
57.8431372549,264.
59.8039215686,258.
61.7647058824,284.
63.7254901961,256.
65.6862745098,275.
67.6470588235,290.
69.6078431373,279.
71.568627451,280.
73.5294117647,310.
75.4901960784,310.
77.4509803922,284.
79.4117647059,297.
81.3725490196,270.
83.3333333333,286.
85.2941176471,268.
87.2549019608,258.
89.2156862745,274.
91.1764705882,265.
93.137254902,238.
95.0980392157,247.
97.0588235294,249.
99.0196078431,225.
100.9803921569,222.
102.9411764706,229.
104.9019607843,206.
106.8627450980,208.
108.8235294118,198.
110.7843137255,202.
112.7450980392,179.
114.7058823529,195.
116.6666666667,186.
118.6274509804,166.
120.5882352941,185.
122.5490196078,169.
124.5098039216,167.
126.4705882353,178.
128.4313725490,150.
130.3921568627,145.
132.3529411765,159.
134.3137254902,161.
136.2745098039,151.
138.2352941176,135.
140.1960784314,127.
142.1568627451,125.
144.1176470588,113.
146.0784313725,108.
148.0392156863,119.
150.,112.
151.9607843137,100.
153.9215686275,103.
155.8823529412,81.
157.8431372549,98.
159.8039215686,86.
161.7647058824,72.
163.7254901961,77.
165.6862745098,69.
167.6470588235,49.
169.6078431373,69.
171.568627451,68.
173.5294117647,65.
175.4901960784,69.
177.4509803922,81.
179.4117647059,112.
181.3725490196,107.
183.3333333333,157.
185.2941176471,180.
187.2549019608,228.
189.2156862745,319.
191.1764705882,392.
193.137254902,509.
195.0980392157,484.
197.0588235294,453.
199.0196078431,317.
200.9803921569,193.
202.9411764706,105.
204.9019607843,61.
206.8627450980,34.
208.8235294118,28.
210.7843137255,16.
212.7450980392,22.
214.7058823529,20.
216.6666666667,23.
218.6274509804,17.
220.5882352941,17.
222.5490196078,21.
224.5098039216,15.
226.4705882353,18.
228.4313725490,14.
230.3921568627,12.
232.3529411765,13.
234.3137254902,23.
236.2745098039,17.
238.2352941176,16.
240.1960784314,10.
242.1568627451,16.
244.1176470588,10.
246.0784313725,15.
248.0392156863,10.
250.,15.
251.9607843137,20.
253.9215686275,15.
255.8823529412,18.
257.8431372549,17.
259.8039215686,14.
261.7647058824,17.
263.7254901961,25.
265.6862745098,17.
267.6470588235,16.
269.6078431373,19.
271.568627451,21.
273.5294117647,35.
275.4901960784,18.
277.4509803922,25.
279.4117647059,28.
281.3725490196,27.
283.3333333333,28.
285.2941176471,20.
287.2549019608,21.
289.2156862745,21.
291.1764705882,32.
293.137254902,36.
295.0980392157,28.
297.0588235294,27.
299.0196078431,22.
300.9803921569,23.
302.9411764706,29.
304.9019607843,41.
306.8627450980,30.
308.8235294118,37.
310.7843137255,39.
312.7450980392,33.
314.7058823529,30.
316.6666666667,30.
318.6274509804,20.
320.5882352941,30.
322.5490196078,31.
324.5098039216,26.
326.4705882353,24.
328.4313725490,27.
330.3921568627,30.
332.3529411765,40.
334.3137254902,30.
336.2745098039,29.
338.2352941176,37.
340.1960784314,26.
342.1568627451,31.
344.1176470588,30.
346.0784313725,28.
348.0392156863,24.
350.,20.
351.9607843137,25.
353.9215686275,17.
355.8823529412,22.
357.8431372549,28.
359.8039215686,24.
361.7647058824,14.
363.7254901961,13.
365.6862745098,12.
367.6470588235,18.
369.6078431373,20.
371.568627451,16.
373.5294117647,12.
375.4901960784,18.
377.4509803922,19.
379.4117647059,18.
381.3725490196,16.
383.3333333333,14.
385.2941176471,7.
387.2549019608,6.
389.2156862745,8.
391.1764705882,8.
393.137254902,6.
395.0980392157,9.
397.0588235294,7.
399.0196078431,6.
400.9803921569,3.
402.9411764706,2.
404.9019607843,4.
406.8627450980,9.
408.8235294118,5.
410.7843137255,3.
412.7450980392,7.
414.7058823529,4.
416.6666666667,2.
418.6274509804,3.
420.5882352941,1.
422.5490196078,1.
424.5098039216,2.
426.4705882353,3.
428.4313725490,1.
430.3921568627,4.
432.3529411765,0.
434.3137254902,1.
436.2745098039,0.
438.2352941176,0.
440.1960784314,1.
442.1568627451,2.
444.1176470588,1.
446.0784313725,2.
448.0392156863,1.
450.,2.
451.9607843137,0.
453.9215686275,1.
455.8823529412,0.
457.8431372549,2.
459.8039215686,3.
461.7647058824,0.
463.7254901961,0.
465.6862745098,2.
467.6470588235,1.
469.6078431373,0.
471.568627451,2.
473.5294117647,1.
475.4901960784,0.
477.4509803922,0.
479.4117647059,1.
481.3725490196,2.
483.3333333333,0.
485.2941176471,0.
487.2549019608,0.
489.2156862745,1.
491.1764705882,0.
493.137254902,1.
495.0980392157,0.
497.0588235294,1.
499.0196078431,1.
