x0000,y0000
0.9803921569,1.
2.9411764706,47.
4.9019607843,188.
6.8627450980,395.
8.8235294118,484.
10.7843137255,543.
12.7450980392,537.
14.7058823529,483.
16.6666666667,430.
18.6274509804,378.
20.5882352941,348.
22.5490196078,272.
24.5098039216,266.
26.4705882353,259.
28.4313725490,214.
30.3921568627,189.
32.3529411765,180.
34.3137254902,162.
36.2745098039,167.
38.2352941176,142.
40.1960784314,130.
42.1568627451,131.
44.1176470588,115.
46.0784313725,112.
48.0392156863,99.
50.,101.
51.9607843137,97.
53.9215686275,93.
55.8823529412,67.
57.8431372549,92.
59.8039215686,91.
61.7647058824,76.
63.7254901961,74.
65.6862745098,57.
67.6470588235,62.
69.6078431373,70.
71.568627451,60.
73.5294117647,60.
75.4901960784,64.
77.4509803922,77.
79.4117647059,42.
81.3725490196,58.
83.3333333333,67.
85.2941176471,53.
87.2549019608,64.
89.2156862745,59.
91.1764705882,47.
93.137254902,48.
95.0980392157,61.
97.0588235294,60.
99.0196078431,49.
100.9803921569,48.
102.9411764706,48.
104.9019607843,44.
106.8627450980,51.
108.8235294118,49.
110.7843137255,59.
112.7450980392,66.
114.7058823529,52.
116.6666666667,57.
118.6274509804,65.
120.5882352941,58.
122.5490196078,71.
124.5098039216,65.
126.4705882353,80.
128.4313725490,85.
130.3921568627,81.
132.3529411765,108.
134.3137254902,75.
136.2745098039,101.
138.2352941176,114.
140.1960784314,117.
142.1568627451,140.
144.1176470588,168.
146.0784313725,196.
148.0392156863,227.
150.,284.
151.9607843137,340.
153.9215686275,450.
155.8823529412,534.
157.8431372549,669.
159.8039215686,811.
161.7647058824,883.
163.7254901961,993.
165.6862745098,890.
167.6470588235,714.
169.6078431373,535.
171.568627451,373.
173.5294117647,247.
175.4901960784,173.
177.4509803922,123.
179.4117647059,78.
181.3725490196,60.
183.3333333333,50.
185.2941176471,35.
187.2549019608,36.
189.2156862745,38.
191.1764705882,32.
193.137254902,23.
195.0980392157,27.
197.0588235294,26.
199.0196078431,31.
200.9803921569,25.
202.9411764706,36.
204.9019607843,23.
206.8627450980,17.
208.8235294118,16.
210.7843137255,30.
212.7450980392,19.
214.7058823529,22.
216.6666666667,13.
218.6274509804,16.
220.5882352941,24.
222.5490196078,20.
224.5098039216,18.
226.4705882353,18.
228.4313725490,17.
230.3921568627,17.
232.3529411765,15.
234.3137254902,12.
236.2745098039,27.
238.2352941176,22.
240.1960784314,18.
242.1568627451,29.
244.1176470588,14.
246.0784313725,16.
248.0392156863,17.
250.,18.
251.9607843137,22.
253.9215686275,15.
255.8823529412,20.
257.8431372549,14.
259.8039215686,28.
261.7647058824,21.
263.7254901961,20.
265.6862745098,22.
267.6470588235,17.
269.6078431373,19.
271.568627451,15.
273.5294117647,20.
275.4901960784,14.
277.4509803922,19.
279.4117647059,24.
281.3725490196,24.
283.3333333333,18.
285.2941176471,20.
287.2549019608,18.
289.2156862745,15.
291.1764705882,22.
293.137254902,15.
295.0980392157,8.
297.0588235294,13.
299.0196078431,19.
300.9803921569,19.
302.9411764706,18.
304.9019607843,14.
306.8627450980,18.
308.8235294118,11.
310.7843137255,14.
312.7450980392,13.
314.7058823529,7.
316.6666666667,16.
318.6274509804,10.
320.5882352941,14.
322.5490196078,17.
324.5098039216,9.
326.4705882353,12.
328.4313725490,20.
330.3921568627,15.
332.3529411765,12.
334.3137254902,22.
336.2745098039,14.
338.2352941176,8.
340.1960784314,10.
342.1568627451,11.
344.1176470588,7.
346.0784313725,8.
348.0392156863,7.
350.,10.
351.9607843137,11.
353.9215686275,9.
355.8823529412,10.
357.8431372549,4.
359.8039215686,6.
361.7647058824,12.
363.7254901961,5.
365.6862745098,7.
367.6470588235,7.
369.6078431373,11.
371.568627451,8.
373.5294117647,9.
375.4901960784,14.
377.4509803922,13.
379.4117647059,7.
381.3725490196,3.
383.3333333333,8.
385.2941176471,9.
387.2549019608,9.
389.2156862745,7.
391.1764705882,7.
393.137254902,9.
395.0980392157,11.
397.0588235294,11.
399.0196078431,10.
400.9803921569,6.
402.9411764706,7.
404.9019607843,5.
406.8627450980,7.
408.8235294118,8.
410.7843137255,6.
412.7450980392,6.
414.7058823529,4.
416.6666666667,12.
418.6274509804,9.
420.5882352941,6.
422.5490196078,7.
424.5098039216,13.
426.4705882353,5.
428.4313725490,10.
430.3921568627,9.
432.3529411765,8.
434.3137254902,5.
436.2745098039,9.
438.2352941176,10.
440.1960784314,9.
442.1568627451,9.
444.1176470588,6.
446.0784313725,3.
448.0392156863,13.
450.,2.
451.9607843137,3.
453.9215686275,3.
455.8823529412,7.
457.8431372549,4.
459.8039215686,7.
461.7647058824,8.
463.7254901961,7.
465.6862745098,5.
467.6470588235,7.
469.6078431373,8.
471.568627451,6.
473.5294117647,2.
475.4901960784,2.
477.4509803922,8.
479.4117647059,10.
481.3725490196,5.
483.3333333333,6.
485.2941176471,3.
487.2549019608,7.
489.2156862745,4.
491.1764705882,2.
493.137254902,6.
495.0980392157,11.
497.0588235294,40.
499.0196078431,18.
